# FVI Format Version: 1.0
# Grid Size: 15x15x15
# Surface Type: cone
# Creation Date: 2025-10-13
Index,VoxelString
001,000000000000000
002,000000000000000
003,000000000000000
004,000000000000000
005,000000000000000
006,000000000000000
007,000000000000000
008,000000000000000
009,000000000000000
010,000000000000000
011,000000000000000
012,000000000000000
013,000000000000000
014,000000000000000
015,000000000000000
016,000000000000000
017,000000000000000
018,000000000000000
019,000000000000000
020,000000000000000
021,000000000000000
022,000000000000000
023,000000000000000
024,000000000000000
025,000000000000000
026,000000000000000
027,000000000000000
028,000000000000000
029,000000000000000
030,000000000000000
031,000000000000000
032,000000000000000
033,000000000000000
034,000000000000000
035,000000000000000
036,000000000000000
037,000000000000000
038,000000000000000
039,000000000000000
040,000000000000000
041,000000000000000
042,000000000000000
043,000000000000000
044,000000000000000
045,000000000000000
046,000000000000000
047,000000000000000
048,000000000000000
049,000000000000000
050,000000000000000
051,000000000000001
052,000000000000001
053,000000000000001
054,000000000000001
055,000000000000000
056,000000000000000
057,000000000000000
058,000000000000000
059,000000000000000
060,000000000000000
061,000000000000000
062,000000000000000
063,000000000000000
064,000000000000000
065,000000000000000
066,000000000000001
067,000000000000011
068,000000000000111
069,000000000000111
070,000000000000011
071,000000000000001
072,000000000000000
073,000000000000000
074,000000000000000
075,000000000000000
076,000000000000000
077,000000000000000
078,000000000000000
079,000000000000001
080,000000000000111
081,000000000001111
082,000000000001110
083,000000000001110
084,000000000001111
085,000000000000111
086,000000000000001
087,000000000000000
088,000000000000000
089,000000000000000
090,000000000000000
091,000000000000000
092,000000000000000
093,000000000000000
094,000000000000001
095,000000000000011
096,000000000001111
097,000000000011100
098,000000000111000
099,000000000111000
100,000000000011100
101,000000000001111
102,000000000000011
103,000000000000001
104,000000000000000
105,000000000000000
106,000000000000000
107,000000000000000
108,000000000000001
109,000000000000111
110,000000000001110
111,000000000111000
112,000000011110000
113,000000011110000
114,000000000111000
115,000000000001110
116,000000000000111
117,000000000000001
118,000000000000000
119,000000000000000
120,000000000000000
121,000000000000000
122,000000000000000
123,000000000000000
124,000000000000001
125,000000000000111
126,000000000001110
127,000000000111000
128,000000011110000
129,000000011110000
130,000000000111000
131,000000000001110
132,000000000000111
133,000000000000001
134,000000000000000
135,000000000000000
136,000000000000000
137,000000000000000
138,000000000000001
139,000000000000011
140,000000000001111
141,000000000011100
142,000000000111000
143,000000000111000
144,000000000011100
145,000000000001111
146,000000000000011
147,000000000000001
148,000000000000000
149,000000000000000
150,000000000000000
151,000000000000000
152,000000000000000
153,000000000000000
154,000000000000000
155,000000000000001
156,000000000000111
157,000000000001111
158,000000000001110
159,000000000001110
160,000000000001111
161,000000000000111
162,000000000000001
163,000000000000000
164,000000000000000
165,000000000000000
166,000000000000000
167,000000000000000
168,000000000000000
169,000000000000000
170,000000000000001
171,000000000000011
172,000000000000111
173,000000000000111
174,000000000000011
175,000000000000001
176,000000000000000
177,000000000000000
178,000000000000000
179,000000000000000
180,000000000000000
181,000000000000000
182,000000000000000
183,000000000000000
184,000000000000000
185,000000000000000
186,000000000000000
187,000000000000001
188,000000000000001
189,000000000000001
190,000000000000001
191,000000000000000
192,000000000000000
193,000000000000000
194,000000000000000
195,000000000000000
196,000000000000000
197,000000000000000
198,000000000000000
199,000000000000000
200,000000000000000
201,000000000000000
202,000000000000000
203,000000000000000
204,000000000000000
205,000000000000000
206,000000000000000
207,000000000000000
208,000000000000000
209,000000000000000
210,000000000000000
211,000000000000000
212,000000000000000
213,000000000000000
214,000000000000000
215,000000000000000
216,000000000000000
217,000000000000000
218,000000000000000
219,000000000000000
220,000000000000000
221,000000000000000
222,000000000000000
223,000000000000000
224,000000000000000
225,000000000000000
