# FVI Format Version: 1.0
# Grid Size: 15x15x15
# Surface Type: cylinder
# Creation Date: 2025-10-13
Index,VoxelString
001,000000000000000
002,000000000000000
003,000000000000000
004,000000000000000
005,000000000000000
006,000000000000000
007,000000000000000
008,000000000000000
009,000000000000000
010,000000000000000
011,000000000000000
012,000000000000000
013,000000000000000
014,000000000000000
015,000000000000000
016,000000000000000
017,000000000000000
018,000000000000000
019,000000000000000
020,000000000000000
021,000000000000000
022,000000000000000
023,000000000000000
024,000000000000000
025,000000000000000
026,000000000000000
027,000000000000000
028,000000000000000
029,000000000000000
030,000000000000000
031,000000000000000
032,000000000000000
033,000000000000000
034,000000000000000
035,000000000000000
036,000000000000000
037,000000000000000
038,000000000000000
039,000000000000000
040,000000000000000
041,000000000000000
042,000000000000000
043,000000000000000
044,000000000000000
045,000000000000000
046,000000000000000
047,000000000000000
048,000000000000000
049,000000000000000
050,000000000000000
051,111111111111111
052,111111111111111
053,111111111111111
054,111111111111111
055,000000000000000
056,000000000000000
057,000000000000000
058,000000000000000
059,000000000000000
060,000000000000000
061,000000000000000
062,000000000000000
063,000000000000000
064,000000000000000
065,111111111111111
066,111111111111111
067,111111111111111
068,111111111111111
069,111111111111111
070,111111111111111
071,111111111111111
072,111111111111111
073,000000000000000
074,000000000000000
075,000000000000000
076,000000000000000
077,000000000000000
078,000000000000000
079,111111111111111
080,111111111111111
081,000000000000000
082,000000000000000
083,000000000000000
084,000000000000000
085,111111111111111
086,111111111111111
087,000000000000000
088,000000000000000
089,000000000000000
090,000000000000000
091,000000000000000
092,000000000000000
093,000000000000000
094,111111111111111
095,111111111111111
096,000000000000000
097,000000000000000
098,000000000000000
099,000000000000000
100,000000000000000
101,000000000000000
102,111111111111111
103,111111111111111
104,000000000000000
105,000000000000000
106,000000000000000
107,000000000000000
108,111111111111111
109,111111111111111
110,000000000000000
111,000000000000000
112,000000000000000
113,000000000000000
114,000000000000000
115,000000000000000
116,111111111111111
117,111111111111111
118,000000000000000
119,000000000000000
120,000000000000000
121,000000000000000
122,000000000000000
123,000000000000000
124,111111111111111
125,111111111111111
126,000000000000000
127,000000000000000
128,000000000000000
129,000000000000000
130,000000000000000
131,000000000000000
132,111111111111111
133,111111111111111
134,000000000000000
135,000000000000000
136,000000000000000
137,000000000000000
138,111111111111111
139,111111111111111
140,000000000000000
141,000000000000000
142,000000000000000
143,000000000000000
144,000000000000000
145,000000000000000
146,111111111111111
147,111111111111111
148,000000000000000
149,000000000000000
150,000000000000000
151,000000000000000
152,000000000000000
153,000000000000000
154,000000000000000
155,111111111111111
156,111111111111111
157,000000000000000
158,000000000000000
159,000000000000000
160,000000000000000
161,111111111111111
162,111111111111111
163,000000000000000
164,000000000000000
165,000000000000000
166,000000000000000
167,000000000000000
168,000000000000000
169,111111111111111
170,111111111111111
171,111111111111111
172,111111111111111
173,111111111111111
174,111111111111111
175,111111111111111
176,111111111111111
177,000000000000000
178,000000000000000
179,000000000000000
180,000000000000000
181,000000000000000
182,000000000000000
183,000000000000000
184,000000000000000
185,000000000000000
186,000000000000000
187,111111111111111
188,111111111111111
189,111111111111111
190,111111111111111
191,000000000000000
192,000000000000000
193,000000000000000
194,000000000000000
195,000000000000000
196,000000000000000
197,000000000000000
198,000000000000000
199,000000000000000
200,000000000000000
201,000000000000000
202,000000000000000
203,000000000000000
204,000000000000000
205,000000000000000
206,000000000000000
207,000000000000000
208,000000000000000
209,000000000000000
210,000000000000000
211,000000000000000
212,000000000000000
213,000000000000000
214,000000000000000
215,000000000000000
216,000000000000000
217,000000000000000
218,000000000000000
219,000000000000000
220,000000000000000
221,000000000000000
222,000000000000000
223,000000000000000
224,000000000000000
225,000000000000000
