# FVI Format Version: 1.0
# Grid Size: 15x15x15
# Surface Type: ellipsoid
# Creation Date: 2025-10-13
Index,VoxelString
001,000000000000000
002,000000000000000
003,000000000000000
004,000000000000000
005,000000000000000
006,000000000000000
007,000000000000000
008,000000000000000
009,000000000000000
010,000000000000000
011,000000000000000
012,000000000000000
013,000000000000000
014,000000000000000
015,000000000000000
016,000000000000000
017,000000000000000
018,000000000000000
019,000000000000000
020,000000000000000
021,000000000000000
022,000000000000000
023,000000000000000
024,000000000000000
025,000000000000000
026,000000000000000
027,000000000000000
028,000000000000000
029,000000000000000
030,000000000000000
031,000000000000000
032,000000000000000
033,000000000000000
034,000000000000000
035,000000000000000
036,000000000000000
037,000000011000000
038,000000111100000
039,000000111100000
040,000000011000000
041,000000000000000
042,000000000000000
043,000000000000000
044,000000000000000
045,000000000000000
046,000000000000000
047,000000000000000
048,000000111100000
049,000001111110000
050,000011111111000
051,000011111111000
052,000011111111000
053,000011111111000
054,000011111111000
055,000011111111000
056,000001111110000
057,000000111100000
058,000000000000000
059,000000000000000
060,000000000000000
061,000000000000000
062,000000011000000
063,000001111110000
064,000011111111000
065,000111111111100
066,000111111111100
067,000111111111100
068,001111111111110
069,001111111111110
070,000111111111100
071,000111111111100
072,000111111111100
073,000011111111000
074,000001111110000
075,000000011000000
076,000001111110000
077,000011111111000
078,000111111111100
079,001111111111110
080,001111111111110
081,001111111111110
082,001111111111110
083,001111111111110
084,001111111111110
085,001111111111110
086,001111111111110
087,000111111111100
088,000011111111000
089,000001111110000
090,000000011000000
091,000001111110000
092,000011111111000
093,000111111111100
094,001111111111110
095,001111111111110
096,001111111111110
097,011111111111111
098,011111111111111
099,011111111111111
100,011111111111111
101,001111111111110
102,001111111111110
103,001111111111110
104,000111111111100
105,000011111111000
106,000111111111100
107,000111111111100
108,001111111111110
109,001111111111110
110,011111111111111
111,011111111111111
112,011111111111111
113,011111111111111
114,011111111111111
115,011111111111111
116,001111111111110
117,001111111111110
118,000111111111100
119,000111111111100
120,000001111110000
121,000001111110000
122,000111111111100
123,000111111111100
124,001111111111110
125,001111111111110
126,011111111111111
127,011111111111111
128,011111111111111
129,011111111111111
130,011111111111111
131,011111111111111
132,001111111111110
133,001111111111110
134,000111111111100
135,000111111111100
136,000011111111000
137,000111111111100
138,001111111111110
139,001111111111110
140,001111111111110
141,011111111111111
142,011111111111111
143,011111111111111
144,011111111111111
145,001111111111110
146,001111111111110
147,001111111111110
148,000111111111100
149,000011111111000
150,000001111110000
151,000000011000000
152,000001111110000
153,000011111111000
154,000111111111100
155,001111111111110
156,001111111111110
157,001111111111110
158,001111111111110
159,001111111111110
160,001111111111110
161,001111111111110
162,001111111111110
163,000111111111100
164,000011111111000
165,000001111110000
166,000000011000000
167,000001111110000
168,000011111111000
169,000111111111100
170,000111111111100
171,000111111111100
172,001111111111110
173,001111111111110
174,000111111111100
175,000111111111100
176,000111111111100
177,000011111111000
178,000001111110000
179,000000011000000
180,000000000000000
181,000000000000000
182,000000000000000
183,000000000000000
184,000000111100000
185,000001111110000
186,000011111111000
187,000011111111000
188,000011111111000
189,000011111111000
190,000011111111000
191,000011111111000
192,000001111110000
193,000000111100000
194,000000000000000
195,000000000000000
196,000000000000000
197,000000000000000
198,000000000000000
199,000000000000000
200,000000000000000
201,000000011000000
202,000000111100000
203,000000111100000
204,000000011000000
205,000000000000000
206,000000000000000
207,000000000000000
208,000000000000000
209,000000000000000
210,000000000000000
211,000000000000000
212,000000000000000
213,000000000000000
214,000000000000000
215,000000000000000
216,000000000000000
217,000000000000000
218,000000000000000
219,000000000000000
220,000000000000000
221,000000000000000
222,000000000000000
223,000000000000000
224,000000000000000
225,000000000000000
