# FVI Format Version: 1.0
# Grid Size: 15x15x15
# Surface Type: sphere
# Creation Date: 2025-10-13
Index,VoxelString
001,000000000000000
002,000000000000000
003,000000000000000
004,000000000000000
005,000000000000000
006,000000000000000
007,000000000000000
008,000000000000000
009,000000000000000
010,000000000000000
011,000000000000000
012,000000000000000
013,000000000000000
014,000000000000000
015,000000000000000
016,000000000000000
017,000000000000000
018,000000000000000
019,000000000000000
020,000000011000000
021,000000111100000
022,000001111110000
023,000001111110000
024,000000111100000
025,000000011000000
026,000000000000000
027,000000000000000
028,000000000000000
029,000000000000000
030,000000000000000
031,000000000000000
032,000000000000000
033,000000000000000
034,000000000000000
035,000001111110000
036,000011111111000
037,000011111111000
038,000011111111000
039,000011111111000
040,000011111111000
041,000011111111000
042,000001111110000
043,000000000000000
044,000000000000000
045,000000000000000
046,000000000000000
047,000000000000000
048,000001111110000
049,000011111111000
050,000111111111100
051,000111000011100
052,000111000011100
053,000111000011100
054,000111000011100
055,000111111111100
056,000011111111000
057,000001111110000
058,000000000000000
059,000000000000000
060,000000000000000
061,000000000000000
062,000000000000000
063,000001111110000
064,000011111111000
065,000111100111100
066,001110000001110
067,001110000001110
068,001100000000110
069,001100000000110
070,001110000001110
071,001110000001110
072,000111100111100
073,000011111111000
074,000001111110000
075,000000000000000
076,000000011000000
077,000011111111000
078,000111111111100
079,001110000001110
080,001100000000110
081,001100000000110
082,011100000000111
083,011100000000111
084,001100000000110
085,001100000000110
086,001110000001110
087,000111111111100
088,000011111111000
089,000000011000000
090,000000000000000
091,000000000000000
092,000000111100000
093,000011111111000
094,000111000011100
095,001110000001110
096,001100000000110
097,011000000000011
098,011000000000011
099,011000000000011
100,011000000000011
101,001100000000110
102,001110000001110
103,000111000011100
104,000011111111000
105,000000111100000
106,000001111110000
107,000011111111000
108,000111000011100
109,001100000000110
110,011100000000111
111,011000000000011
112,011000000000011
113,011000000000011
114,011000000000011
115,011100000000111
116,001100000000110
117,000111000011100
118,000011111111000
119,000001111110000
120,000000000000000
121,000000000000000
122,000001111110000
123,000011111111000
124,000111000011100
125,001100000000110
126,011100000000111
127,011000000000011
128,011000000000011
129,011000000000011
130,011000000000011
131,011100000000111
132,001100000000110
133,000111000011100
134,000011111111000
135,000001111110000
136,000000111100000
137,000011111111000
138,000111000011100
139,001110000001110
140,001100000000110
141,011000000000011
142,011000000000011
143,011000000000011
144,011000000000011
145,001100000000110
146,001110000001110
147,000111000011100
148,000011111111000
149,000000111100000
150,000000000000000
151,000000000000000
152,000000011000000
153,000011111111000
154,000111111111100
155,001110000001110
156,001100000000110
157,001100000000110
158,011100000000111
159,011100000000111
160,001100000000110
161,001100000000110
162,001110000001110
163,000111111111100
164,000011111111000
165,000000011000000
166,000000000000000
167,000001111110000
168,000011111111000
169,000111100111100
170,001110000001110
171,001110000001110
172,001100000000110
173,001100000000110
174,001110000001110
175,001110000001110
176,000111100111100
177,000011111111000
178,000001111110000
179,000000000000000
180,000000000000000
181,000000000000000
182,000000000000000
183,000000000000000
184,000001111110000
185,000011111111000
186,000111111111100
187,000111000011100
188,000111000011100
189,000111000011100
190,000111000011100
191,000111111111100
192,000011111111000
193,000001111110000
194,000000000000000
195,000000000000000
196,000000000000000
197,000000000000000
198,000000000000000
199,000001111110000
200,000011111111000
201,000011111111000
202,000011111111000
203,000011111111000
204,000011111111000
205,000011111111000
206,000001111110000
207,000000000000000
208,000000000000000
209,000000000000000
210,000000000000000
211,000000000000000
212,000000000000000
213,000000000000000
214,000000000000000
215,000000000000000
216,000000011000000
217,000000111100000
218,000001111110000
219,000001111110000
220,000000111100000
221,000000011000000
222,000000000000000
223,000000000000000
224,000000000000000
225,000000000000000
