# FVI Format Version: 1.0
# Grid Size: 15x15x15
# Surface Type: torus
# Creation Date: 2025-10-13
Index,VoxelString
001,000000000000000
002,000000000000000
003,000000000000000
004,000000000000000
005,000000000000000
006,000000011000000
007,000000011000000
008,000000111100000
009,000000111100000
010,000000011000000
011,000000011000000
012,000000000000000
013,000000000000000
014,000000000000000
015,000000000000000
016,000000000000000
017,000000000000000
018,000000011000000
019,000000111100000
020,000000111100000
021,000000111100000
022,000001111110000
023,000001111110000
024,000000111100000
025,000000111100000
026,000000111100000
027,000000011000000
028,000000000000000
029,000000000000000
030,000000000000000
031,000000000000000
032,000000000000000
033,000000011000000
034,000000111100000
035,000001111110000
036,000001111110000
037,000001100110000
038,000001100110000
039,000001100110000
040,000001100110000
041,000001111110000
042,000001111110000
043,000000111100000
044,000000011000000
045,000000000000000
046,000000011000000
047,000000111100000
048,000001111110000
049,000001100110000
050,000001100110000
051,000001100110000
052,000001100110000
053,000001100110000
054,000001100110000
055,000001100110000
056,000001100110000
057,000001111110000
058,000000111100000
059,000000011000000
060,000000000000000
061,000000000000000
062,000000111100000
063,000001111110000
064,000001100110000
065,000001100110000
066,000001100110000
067,000001111110000
068,000001111110000
069,000001111110000
070,000001111110000
071,000001100110000
072,000001100110000
073,000001100110000
074,000001111110000
075,000000111100000
076,000000111100000
077,000001111110000
078,000001100110000
079,000001100110000
080,000001111110000
081,000000111100000
082,000000111100000
083,000000111100000
084,000000111100000
085,000001111110000
086,000001100110000
087,000001100110000
088,000001111110000
089,000000111100000
090,000000011000000
091,000000011000000
092,000000111100000
093,000001100110000
094,000001100110000
095,000001111110000
096,000000111100000
097,000000011000000
098,000000000000000
099,000000000000000
100,000000011000000
101,000000111100000
102,000001111110000
103,000001100110000
104,000001100110000
105,000000111100000
106,000001111110000
107,000001100110000
108,000001100110000
109,000001111110000
110,000000111100000
111,000000000000000
112,000000000000000
113,000000000000000
114,000000000000000
115,000000111100000
116,000001111110000
117,000001100110000
118,000001100110000
119,000001111110000
120,000000111100000
121,000000111100000
122,000001111110000
123,000001100110000
124,000001100110000
125,000001111110000
126,000000111100000
127,000000000000000
128,000000000000000
129,000000000000000
130,000000000000000
131,000000111100000
132,000001111110000
133,000001100110000
134,000001100110000
135,000001111110000
136,000000111100000
137,000001100110000
138,000001100110000
139,000001111110000
140,000000111100000
141,000000011000000
142,000000000000000
143,000000000000000
144,000000011000000
145,000000111100000
146,000001111110000
147,000001100110000
148,000001100110000
149,000000111100000
150,000000011000000
151,000000011000000
152,000000111100000
153,000001111110000
154,000001100110000
155,000001100110000
156,000001111110000
157,000000111100000
158,000000111100000
159,000000111100000
160,000000111100000
161,000001111110000
162,000001100110000
163,000001100110000
164,000001111110000
165,000000111100000
166,000000111100000
167,000001111110000
168,000001100110000
169,000001100110000
170,000001100110000
171,000001111110000
172,000001111110000
173,000001111110000
174,000001111110000
175,000001100110000
176,000001100110000
177,000001100110000
178,000001111110000
179,000000111100000
180,000000000000000
181,000000000000000
182,000000011000000
183,000000111100000
184,000001111110000
185,000001100110000
186,000001100110000
187,000001100110000
188,000001100110000
189,000001100110000
190,000001100110000
191,000001100110000
192,000001100110000
193,000001111110000
194,000000111100000
195,000000011000000
196,000000000000000
197,000000011000000
198,000000111100000
199,000001111110000
200,000001111110000
201,000001100110000
202,000001100110000
203,000001100110000
204,000001100110000
205,000001111110000
206,000001111110000
207,000000111100000
208,000000011000000
209,000000000000000
210,000000000000000
211,000000000000000
212,000000000000000
213,000000000000000
214,000000011000000
215,000000111100000
216,000000111100000
217,000000111100000
218,000001111110000
219,000001111110000
220,000000111100000
221,000000111100000
222,000000111100000
223,000000011000000
224,000000000000000
225,000000000000000
